datetimeäáš;value;station_name;nat_abbr;wigos_id;e_coord;n_coord;latitude;longitude;installation_height;param_short
2022-03-03T20:00:00Z;354;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-03T20:00:00Z;7.6;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-06T06:00:00Z;5;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T17:00:00Z;1013.5;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-04T20:00:00Z;-8.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-06T06:00:00Z;1010.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-06T06:00:00Z;1455.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-06T06:00:00Z;804.6;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-07T17:00:00Z;-14.2;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-08T04:00:00Z;1013.3;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-08T15:00:00Z;225;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-08T15:00:00Z;5.4;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-06T06:00:00Z;-12.7;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-06T06:00:00Z;-10.4;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-05T06:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-03T19:00:00Z;18;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-08T04:00:00Z;-7.4;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-07T04:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-07T04:00:00Z;1011.3;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-07T15:00:00Z;7.9;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T04:00:00Z;805.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-05T06:00:00Z;-9.3;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-02T19:00:00Z;270;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-07T04:00:00Z;-14.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-07T15:00:00Z;806.8;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-07T15:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-07T04:00:00Z;-11.1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-03T06:00:00Z;339;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-02T19:00:00Z;810.6;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-02T19:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-03T06:00:00Z;1;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-07T15:00:00Z;42.9;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-02T19:00:00Z;-0.7;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-03T06:00:00Z;808.5;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-03T06:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-03T06:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-03T06:00:00Z;-16.7;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-03T06:00:00Z;-1.8;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-03T06:00:00Z;-2.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-07T14:00:00Z;60;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-07T14:00:00Z;-15.4;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-08T01:00:00Z;1480.7;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-05T04:00:00Z;-10.3;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-03T17:00:00Z;-9.6;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-06T14:00:00Z;1446;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-03T17:00:00Z;-1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-08T01:00:00Z;-7.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-08T01:00:00Z;-7.9;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-07T01:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-07T01:00:00Z;1012.6;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-06T14:00:00Z;-4.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-06T14:00:00Z;-4.1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
